#VALUE!,,,,,,
,,,,,,
,,,,,,
Project Name: NBC,,,,,,
"Revision Date: March 11, 2025",,,,,,
Revised By: GDH,,,,,,
,,,,,,
 LiveSync Content Management System ,Cost,Selling Price,Margin $,Margin %,Margin,
LiveSync Hardware," $191,960.40 "," $191,960.40 ", $-   ,0.00%,0%,
LiveSync Training, $-   , $-   , $-   ,#DIV/0!,0%,
LiveSync Integration / Travel," $45,000.00 "," $45,000.00 ", $-   ,0.00%,0%,
LiveSync Shipping," $8,380.00 "," $8,380.00 ", $-   ,0.00%,0%,
CG Starter Package, $-   , $-   , $-   ,#DIV/0!,0%,
LiveSync License," $15,000.00 "," $15,000.00 ", $-   ,0.00%,0%,
," $260,340 "," $260,340 ", $-   ,0.00%,,
TAX,0.00%, $-   ,,,,
BOND,0.00%, $-   ,,,,
SUB TOTAL, USD: ," $260,340 ", $-   ,0.00%,,
,,,,,,
 Processor ,Cost,Selling Price,Margin $,Margin %,Margin,
Processor," $8,978.00 "," $8,978.00 ", $-   ,0.00%,0%,
Novastar H Processor, $-   , $-   , $-   ,#DIV/0!,0%,
Supplies, $-   , $-   , $-   ,#DIV/0!,0%,
Convertors," $5,894.00 "," $5,894.00 ", $-   ,0.00%,0%,
Shipping, $800.00 , $800.00 , $-   ,0.00%,0%,
," $15,672 "," $15,672 ", $-   ,0.00%,,
TAX,0.00%, $-   ,,,,
BOND,0.00%, $-   ,,,,
SUB TOTAL, USD: ," $15,672 ", $-   ,0.00%,,